	message	method	score	actual	runtime(ns)
451	"Gday man) How are do u? I'd be lucky know you) I am single, no have children, I want for glorious partnercompanion) frank woman is writing to you! I'm searching only serious relationship. So where are you from exactly?
"	LP	[en:0.9999976273645586]	spam	1.972900390625
453	"I am hoping that I did not tire you because of this message, & I look ahead to your response.
"	LP	[en:0.9999974410086796]	spam	2.509765625
455	"6I3will2be1direct.5You5watch5adult5content6often6and7I8caught3
"	LP	[en:0.9999967164994792]	spam	9.460693359375
457	"2Don't2show8this1to3anyone,2this8is4our3little7secret!2
"	LP	[en:0.9999974652603504]	spam	1.43896484375
459	"I don't want to ruin your day, but I have a few pictures of your employess, I don't think they are doing a good job 
"	LP	[en:0.9999978627650202]	spam	3.532470703125
461	"Your time to realign with society has finished, and now is fine to start your mission. A parcel is coming for you. Click here to see details.
"	LP	[en:0.9999966562221061]	spam	2.10693359375
463	"Sex hot as gell, iron potency
"	LP	[en:0.9999953093360635]	spam	3.661865234375
465	"I found yr images on instagram you are handsom 8-D
"	LP	[en:0.857139352935933, cy:0.14285730356974485]	spam	3.413330078125
467	"You qualify for a promotional gift. See Details
"	LP	[en:0.8571396581894034, ca:0.14285980487284458]	spam	6.02001953125
469	"How king of you, dear Admiral, I chortled.
"	LP	[en:0.999995200237912]	spam	3.00537109375
